id,icon_name,icon_path,middle_category
1,ごはん,gohan.png,3
2,ツナ缶,tunakan.png,1
3,ケチャップ,kecyappu.png,3
4,粉チーズ,chi-zu.png,3
5,チーズ,chi-zu.png,3
6,卵,tamago.png,3
7,ゆで卵,tamago.png,3
8,牛乳,gyuunyuu.png,3
9,塩胡椒,shiokosyou.png,3
10,ブラックペッパー,shiokosyou.png,3
11,塩,shiokosyou.png,3
12,パスタ,pasta.png,3
13,バター,bata-.png,3
14,ニンニクチューブ,ninnniku.png,3
15,ポン酢,ponzu.png,3
16,ネギ,negi.png,2
17,長ネギ,negi.png,2
18,小ネギ,negi.png,2
19,ごま,goma.png,3
20,すりごま,goma.png,3
21,ごま油,abura.png,3
22,オリーブオイル,abura.png,3
23,米油,abura.png,3
24,サラダ油,abura.png,3
25,好きなオイル,abura.png,3
26,塩昆布,konnbu.png,3
27,乾燥わかめ,konnbu.png,3
28,鶏ガラ,tori.png,3
29,マヨネーズ,mayone-zu.png,3
30,かつお節,katuobushi.png,3
31,明太子,menntaiko.png,3
32,糸唐辛子,tougarashi.png,3
33,唐辛子,tougarashi.png,3
34,鷹の爪,tougarashi.png,3
35,一味,tougarashi.png,3
36,大葉,ooba.png,2
37,コンソメ,konnsome.png,3
38,ベーコン,be-kon.png,1
39,あさり,kai.png,1
40,シーフードミックス,kai.png,1
41,シーフードミックス,ebi.png,1
42,海老,ebi.png,1
43,玉ねぎ,tamanegi.png,2
44,レモン汁,remon.png,3
45,醤油,syouyu.png,3
46,じゃこ,jako.png,2
47,納豆,nattou.png,3
48,生姜チューブ,syouga.png,3
49,キムチ,kimuchi.png,3
50,サバ缶,sabakan.png,1
51,椎茸,kinoko.png,2
52,しめじ,kinoko.png,2
53,韓国海苔,nori.png,3
54,米粉,komeko.png,3
55,コーヒー,ko-hi-.png,3
56,はちみつ,hachimitu.png,3
57,水,mizu.png,3
58,お湯,mizu.png,3
59,ココアパウダー,kokoa.png,3
60,ウスターソース,usuta-.png,3
61,冷凍うどん,udon.png,3
62,ウインナー,uinnna-.png,1
63,牛肉,niku.png,1
64,粗挽き肉,niku.png,1
65,豚肉,niku.png,1
66,うすぎりの豚肉,niku.png,1
67,粗挽き肉,niku.png,1
68,鶏肉,niku.png,1
69,もやし,moyashi.png,2
70,トマトジュース,tomato.png,3
71,無調整豆乳,tounyuu.png,3
72,白菜,hakusai.png,2
73,ヨーグルト(無糖),yo-guruto.png,3
74,料理酒,ryourisyu.png,3
75,豆腐,touhu.png,3
76,砂糖,satou.png,3
77,てんさい糖,satou.png,3
78,バナナ,banana.png,3
79,パプリカ,pi-man.png,2
80,ピーマン,pi-man.png,2
81,ベーキングパウダー,pauda-.png,3
82,ゼラチン,zerachin.png,3
83,抹茶パウダー,maccya.png,3
84,みりん,mirin.png,3
85,片栗粉,katakuriko.png,3
86,パセリ,paseri.png,2
87,めんつゆ,mentuyu.png,3
88,コチュジャン,kocyujan.png,3
89,豆板醤,kocyujan.png,3
90,オイスターソース,oisuta-.png,3
91,高カカオチョコ,cyoko.png,3
92,紅茶パック,koucya.png,3
93,野沢菜の漬物,nozawana.png,2
94,ちくわ,chikuwa.png,3
95,豆苗,toumyou.png,2
96,三つ葉,mituba.png,2
97,小松菜,chinngennsai.png,2
98,青梗菜,chinngennsai.png,2
99,青のり,aonori.png,3
100,はるさめ,harusame.png,3
101,バニラエッセンス,vanira.png,3
102,わさびチューブ,wasabi.png,3
103,味の素,ajinomoto.png,3
104,ココナッツオイル,kokonattu.png,3
105,お餅,mochi.png,3
106,きな粉,kinako.png,3
107,そうめん,soumen.png,3
108,大根,daikon.png,2
109,酢,su.png,3
110,カニカマ,kanikama.png,3
111,ライスペーパー,raisupe-pa-.png,3
112,ブロッコリー,burokkori-.png,2
