id,name,description,material,image_Path,icon,category
1,"レンチン一回
簡単オムライス","1.レンチンOKな容器に☆の材料を入れ、よく混ぜる
2.ピザ用チーズをお好みでかける
3.△の材料を他の容器に入れて混ぜ、☆にかける
4.3分レンチンし、最後にケチャップをかけたら完成。","☆ごはん　130ｇ
☆ツナ缶　1缶(オイルは切る)
☆ケチャップ　大さじ2
・チーズ　お好みで
△卵　1個
△牛乳　20ｍｌ
△塩胡椒　適量",1.png,gohan.png tunakan.png chi-zu.png tamago.png gyuunyuu.png kecyappu.png shiokosyou.png,④
2,"レンチン1回
コク旨バタぽんパスタ","1.レンチンＯＫな容器にパスタ、お水を加える
2.パスタの袋に記載された加熱時間+2分レンチン
3.ゆで汁大さじ1程度残した状態で☆を入れる
4.よく混ぜたら完成。","・パスタ100ｇ
・水250ｍｌ
☆バター　15ｇ
☆ツナ缶　1缶(オイルは切る)
☆ニンニクチューブ　2-3cm
☆ポン酢　大さじ2
☆ネギ　好きなだけ
☆ごま　好きなだけ",2.png,pasta.png bata-.png tunakan.png ninnniku.png negi.png goma.png ponzu.png,①
3,"レンチン1回
和風ツナマヨパスタ","1.レンチンＯＫな容器に☆の材料を入れる
2.パスタの湯で時間+2分レンチン
3.パスタに・の材料を入れ、よく混ぜて完成。","☆パスタ　100ｇ
☆水　230ｍｌ
☆ツナ缶　1缶(オイルごと)
☆塩昆布　2つまみ
☆鶏ガラ　小さじ1
・マヨネーズ　大さじ2
・かつお節　1パック
・ネギ　好きなだけ",3.png,pasta.png tunakan.png konnbu.png tori.png negi.png mayone-zu.png katuobushi.png,①
4,"生クリームなし！
明太クリームパスタ","1.レンチンＯＫな容器に☆の材料を入れる
2.パスタの湯で時間+2分レンチン
3.パスタに・の材料を入れ、よく混ぜて完成。","☆パスタ　100ｇ
☆水　200ｍｌ
☆鶏ガラ　小さじ1
☆サラダ油　小さじ1
・マヨネーズ　大さじ1.5
・明太子　50ｇ
・牛乳　大さじ4",4.png,pasta.png tori.png menntaiko.png gyuunyuu.png mayone-zu.png abura.png,①
5,"洗い物1つ
瞬殺パスタ","1.レンチンOKな容器に☆の材料を入れる
2.パスタの湯で時間+3分レンチン
3.パスタに・の材料を入れ、よく混ぜて完成。","☆パスタ　100ｇ
☆水　250ｍｌ
☆鶏ガラ　小さじ1
☆ニンニクチューブ　3-5cm
☆唐辛子　お好みで
☆オリーブオイル　小さじ2
☆塩　少々
・めんつゆ(3倍濃縮)　小さじ1
・大葉　好きなだけ
・ブラックペッパー　少々",5.png,pasta.png tori.png ninnniku.png shiokosyou.png abura.png ooba.png tougarashi.png,①
6,"仕事終わりでも作れる
トマたまパスタ","1.レンチンOKな容器に☆の材料を入れる
2.パスタの湯で時間+2分レンチン
3.パスタに・の材料を入れ、よく混ぜて完成。","☆パスタ　100ｇ
☆水　250ｍｌ
☆コンソメ　小さじ1/2
☆オリーブオイル　大さじ1
☆ケチャップ　大さじ2
☆ベーコン　お好みで
☆ニンニクチューブ　2-3cm
・バター　10ｇ
・卵　1つ",6.png,pasta.png konnsome.png be-kon.png ninnniku.png bata-.png tamago.png abura.png kecyappu.png,①
7,"材料入れてレンチンするだけ
ボンゴレビアンコ","1.レンチンOKな容器に全ての材料を入れる
2.パスタの湯で時間+3分レンチン
3.よく混ぜて完成。","・パスタ　80ｇ
・水　180ml
・ニンニクチューブ　2-5cm
・ベーコン 　2枚
・鷹の爪　お好みで
・オリーブオイル　大さじ1
・コンソメ　小さじ1/2
・塩胡椒　適量
・あさり　お好みで",7.png,pasta.png ninnniku.png be-kon.png konnsome.png kai.png tougarashi.png abura.png shiokosyou.png,①
8,"材料入れてレンチンするだけ
さば缶和風パスタ","1.レンチンOKな容器に☆の材料を入れる
2.パスタの湯で時間+3分レンチン
3.よく混ぜてお好みでネギを入れて完成。","☆パスタ　８０ｇ
☆水　１６０ml
☆サバ缶（缶汁は含めない）　１００ｇ
☆玉ねぎ　５０ｇ
☆オリーブオイル　大さじ１
☆レモン汁　小さじ１
☆醤油　大さじ１
☆ブラックペッパー　適量
・ネギ　お好みで",8.png,pasta.png sabakan.png tamanegi.png negi.png abura.png remon.png shiokosyou.png syouyu.png,①
9,"材料入れてレンチンするだけ
貧乏人のパスタ","1.レンチンOKな容器に☆の材料を入れる
2.卵の黄身をつぶす
3.パスタの湯で時間+6分レンチン
4.卵とパスタをほぐす
5.残りをお好みでかけて完成","☆パスタ　８０ｇ
☆水　１８０ml
☆オリーブオイル　大さじ１強
☆ニンニクチューブ　2-5cm
☆卵　1個
・粉チーズ　大さじ２～３
・塩　お好みの味に調整
・ブラックペッパー　適量",9.png,pasta.png ninnniku.png tamago.png chi-zu.png,①
10,"材料入れてレンチンするだけ
じゃこと野沢菜の納豆パスタ","1.レンチンOKな容器に☆の材料を入れる
2.パスタの湯で時間+3分レンチン
3.納豆を付属のタレを入れて混ぜる
4.レンチンしたパスタに乗せて完成。","☆パスタ　８０ｇ
☆水　１８０ml
☆野沢菜の漬物　５０ｇ
☆じゃこ　１０ｇ
☆鶏ガラ　小さじ１/２
☆ごま油　小さじ２
☆生姜チューブ　小さじ１/２
☆鷹の爪　お好みで
・納豆　１パック
・ネギ　お好みで",10.png,pasta.png jako.png tori.png negi.png abura.png tougarashi.png nattou.png syouga.png,①
